Days;Values
1 May;0.013
2 May;0
3 May;0
4 May;0
5 May;0
6 May;0
7 May;0
8 May;0
9 May;0.008
10 May;0
11 May;0
12 May;0
13 May;0
14 May;0.014
15 May;0
16 May;0
17 May;0
18 May;0
19 May;0
20 May;0
21 May;0.176
22 May;0.262
23 May;0.128
24 May;0.29
25 May;0.502
26 May;0
27 May;0.09
28 May;0.143
29 May;0.666
30 May;0.565
31 May;0.895
1 June;2.846
2 June;1.884
3 June;1.604
4 June;2.701
5 June;6.018
6 June;7.858
7 June;10.109
8 June;9.879
9 June;10.591
10 June;14.362
11 June;15.457
12 June;22.675
13 June;21.847
14 June;13.589
15 June;15.033
16 June;15.271
17 June;12.971
18 June;11.819
19 June;12.377
20 June;14.481
21 June;17.47
22 June;20.571
23 June;20.657
24 June;24.384
25 June;23.553
26 June;13.798
27 June;11.663
28 June;8.804
29 June;5.714
30 June;3.248
1 July;4.191
2 July;5.429
3 July;10.341
4 July;9.221
5 July;11.858
6 July;11.09
7 July;15.578
8 July;17.662
9 July;27.724
10 July;21.096
11 July;13.011
12 July;24.066
13 July;22.288
14 July;19.252
15 July;22.224
16 July;18.743
17 July;22.819
18 July;24.185
19 July;20.234
20 July;24.496
21 July;27.541
22 July;34.675
23 July;26.471
24 July;27.629
25 July;30.59
26 July;19.475
27 July;14.434
28 July;18.366
29 July;20.442
30 July;26.55
31 July;29.08
1 August;26.058
2 August;21.787
3 August;20.951
4 August;19.748
5 August;18.31
6 August;10.568
7 August;9.384
8 August;17.01
9 August;14.417
10 August;12.972
11 August;8.382
12 August;9.998
13 August;10.817
14 August;6.366
15 August;4.28
16 August;3.296
17 August;0.74
18 August;0.75
19 August;0.082
20 August;0.126
21 August;0.194
22 August;0.293
23 August;0.352
24 August;0.801
25 August;2.026
26 August;0.946
27 August;0.603
28 August;0.058
29 August;0.06
30 August;0.123
31 August;1.508
1 September;0.333
2 September;0.517
3 September;0.092
4 September;1.024
5 September;8.57
6 September;11.808
7 September;2.843
8 September;2.085
9 September;1.922
10 September;6.202
11 September;0.816
12 September;0.013
13 September;0.001
14 September;0
15 September;0
16 September;1.061
17 September;1.674
18 September;0.175
19 September;0.013
20 September;0
21 September;0
22 September;0
23 September;0.225
24 September;0.295
25 September;0.076
26 September;0
27 September;0
28 September;0
29 September;0
30 September;1.79
