Days;Values
1 May;0.015
2 May;0.009
3 May;0
4 May;0
5 May;0
6 May;0
7 May;0
8 May;0
9 May;0.001
10 May;0
11 May;0.001
12 May;0.001
13 May;0.002
14 May;0
15 May;0
16 May;0.002
17 May;0
18 May;0.002
19 May;0.002
20 May;0.002
21 May;0.001
22 May;0.001
23 May;0.001
24 May;0.005
25 May;0.002
26 May;0.001
27 May;0
28 May;0.001
29 May;0.001
30 May;0.001
31 May;0.001
1 June;0.001
2 June;0
3 June;0.002
4 June;0.002
5 June;0
6 June;0.001
7 June;0.001
8 June;0.001
9 June;0.001
10 June;0.001
11 June;0.001
12 June;0.001
13 June;0.001
14 June;0.001
15 June;0.007
16 June;0.001
17 June;0
18 June;0.002
19 June;0.002
20 June;0.257
21 June;0.008
22 June;0.018
23 June;0.001
24 June;0.001
25 June;0
26 June;0.001
27 June;0.001
28 June;0.072
29 June;0.019
30 June;0.003
1 July;0.001
2 July;0.001
3 July;0.001
4 July;0.001
5 July;0
6 July;0.001
7 July;0.001
8 July;0
9 July;0.001
10 July;0.24
11 July;0.614
12 July;0.002
13 July;1.082
14 July;0.002
15 July;0.002
16 July;0.001
17 July;0.002
18 July;0.001
19 July;0.001
20 July;0.001
21 July;0.001
22 July;0
23 July;0.002
24 July;0.002
25 July;0.005
26 July;2.931
27 July;1.427
28 July;0.002
29 July;0.002
30 July;0.001
31 July;0.15
1 August;0.003
2 August;0.002
3 August;0.003
4 August;0.001
5 August;0.001
6 August;0.003
7 August;0.001
8 August;0.001
9 August;0.132
10 August;1.492
11 August;0.001
12 August;0
13 August;0.002
14 August;0.002
15 August;0.016
16 August;1.548
17 August;0.636
18 August;0.183
19 August;0.001
20 August;0.001
21 August;0
22 August;0.001
23 August;0
24 August;0.001
25 August;0.411
26 August;0.812
27 August;0.054
28 August;0.111
29 August;0.018
30 August;0.033
31 August;0.026
1 September;0.012
2 September;0.119
3 September;0.014
4 September;0.001
5 September;1.084
6 September;3.482
7 September;0.191
8 September;0.022
9 September;0.273
10 September;0.092
11 September;0.111
12 September;0.011
13 September;0.001
14 September;0.001
15 September;0.002
16 September;0.041
17 September;0.155
18 September;0
19 September;0
20 September;0.001
21 September;0.001
22 September;0
23 September;0.269
24 September;0.519
25 September;0.225
26 September;0.005
27 September;0
28 September;0.001
29 September;0
30 September;1.235
