Days;Values
1 May;0
2 May;0
3 May;0
4 May;0
5 May;0
6 May;0
7 May;0
8 May;0
9 May;0
10 May;0
11 May;0
12 May;0
13 May;0
14 May;0
15 May;0
16 May;0
17 May;0
18 May;0
19 May;0
20 May;0
21 May;0
22 May;0
23 May;0
24 May;0
25 May;0
26 May;0
27 May;0
28 May;0
29 May;0
30 May;0.006
31 May;0.013
1 June;0.058
2 June;0.177
3 June;0.291
4 June;0.429
5 June;0.615
6 June;0.909
7 June;1.416
8 June;1.931
9 June;2.441
10 June;3.311
11 June;4.896
12 June;7.587
13 June;10.666
14 June;10.074
15 June;9.065
16 June;9.024
17 June;9.142
18 June;8.75
19 June;8.644
20 June;8.997
21 June;9.797
22 June;12.225
23 June;12.673
24 June;14.822
25 June;16.317
26 June;15.807
27 June;13.494
28 June;11.724
29 June;10.037
30 June;8.099
1 July;6.749
2 July;6.244
3 July;6.82
4 July;7.887
5 July;8.308
6 July;8.724
7 July;9.564
8 July;11.28
9 July;12.83
10 July;14.102
11 July;13.526
12 July;14.117
13 July;16.552
14 July;15.804
15 July;16.016
16 July;16.017
17 July;15.891
18 July;16.832
19 July;17.008
20 July;17.071
21 July;18.63
22 July;21.173
23 July;22.267
24 July;22.177
25 July;23.022
26 July;23.055
27 July;21.558
28 July;20.008
29 July;19.388
30 July;19.65
31 July;21.541
1 August;21.953
2 August;21.535
3 August;20.793
4 August;20.544
5 August;19.479
6 August;17.93
7 August;16.167
8 August;16.122
9 August;16.573
10 August;16.677
11 August;15.313
12 August;14.15
13 August;13.667
14 August;12.641
15 August;10.902
16 August;9.467
17 August;8.27
18 August;6.017
19 August;4.362
20 August;3.139
21 August;2.47
22 August;2.136
23 August;1.894
24 August;1.569
25 August;1.534
26 August;1.848
27 August;1.322
28 August;1.141
29 August;0.758
30 August;0.582
31 August;0.617
1 September;0.579
2 September;0.493
3 September;0.424
4 September;0.43
5 September;0.758
6 September;4.413
7 September;4.119
8 September;3.085
9 September;2.643
10 September;2.904
11 September;3.004
12 September;1.681
13 September;0.681
14 September;0.342
15 September;0.237
16 September;0.186
17 September;0.346
18 September;0.346
19 September;0.25
20 September;0.177
21 September;0.124
22 September;0.086
23 September;0.07
24 September;0.141
25 September;0.162
26 September;0.147
27 September;0.102
28 September;0.071
29 September;0.05
30 September;0.075
