Days;Values
1 May;-7.121
2 May;-4.974
3 May;-14.114
4 May;-16.943
5 May;-17.539
6 May;-11.46
7 May;-6.883
8 May;-6.745
9 May;-8.068
10 May;-9.134
11 May;-15.324
12 May;-16.491
13 May;-15.581
14 May;-5.439
15 May;-9.559
16 May;-14.097
17 May;-13.682
18 May;-19.755
19 May;-18.521
20 May;-15.583
21 May;-6.859
22 May;-6.568
23 May;-5.145
24 May;-6.435
25 May;-5.41
26 May;-6.498
27 May;-6.302
28 May;-5.606
29 May;-3.316
30 May;-5.766
31 May;-5.898
1 June;-1.889
2 June;-4.607
3 June;-4.799
4 June;-4.602
5 June;0.245
6 June;0.72
7 June;0.735
8 June;1.322
9 June;0.014
10 June;1.207
11 June;1.576
12 June;3.263
13 June;3.049
14 June;-0.119
15 June;0.429
16 June;0.385
17 June;-0.021
18 June;-0.635
19 June;0.409
20 June;0.685
21 June;0.73
22 June;1.976
23 June;2.033
24 June;2.783
25 June;2.241
26 June;0.376
27 June;-0.527
28 June;-0.17
29 June;-2.397
30 June;-3.181
1 July;-3.946
2 July;-2.988
3 July;-0.035
4 July;-0.195
5 July;-0.022
6 July;-0.948
7 July;0.634
8 July;1.458
9 July;2.539
10 July;1.002
11 July;-0.03
12 July;1.633
13 July;1.185
14 July;0.429
15 July;1.462
16 July;0.593
17 July;1.201
18 July;1.843
19 July;1.355
20 July;1.433
21 July;1.96
22 July;3.03
23 July;2.035
24 July;2.122
25 July;2.306
26 July;1.557
27 July;0.41
28 July;0.664
29 July;1.302
30 July;2.03
31 July;3.21
1 August;1.899
2 August;1.051
3 August;0.873
4 August;1.677
5 August;0.734
6 August;-0.713
7 August;-0.28
8 August;1.154
9 August;1.099
10 August;0.547
11 August;-1.704
12 August;-0.702
13 August;-0.042
14 August;-0.912
15 August;-2.605
16 August;-0.818
17 August;-2.952
18 August;-3.416
19 August;-9.24
20 August;-8.651
21 August;-8.897
22 August;-8.246
23 August;-6.606
24 August;-5.046
25 August;-2.784
26 August;-3.737
27 August;-7.117
28 August;-6.659
29 August;-5.771
30 August;-4.292
31 August;-1.888
1 September;-5.821
2 September;-4.135
3 September;-7.291
4 September;-1.89
5 September;0.629
6 September;1.591
7 September;-0.256
8 September;-1.065
9 September;-1.023
10 September;0.267
11 September;-2.786
12 September;-5.475
13 September;-6.394
14 September;-9.312
15 September;-8.113
16 September;-4.039
17 September;-1.242
18 September;-4.939
19 September;-7.438
20 September;-9.424
21 September;-11.017
22 September;-9.798
23 September;-3.491
24 September;-1.878
25 September;-3.194
26 September;-6.86
27 September;-11.199
28 September;-10.521
29 September;-8.064
30 September;-1.917
