Days;Values
1 May;0
2 May;0
3 May;0
4 May;0.004
5 May;0
6 May;0.29
7 May;0.294
8 May;1.071
9 May;0.151
10 May;0.001
11 May;0.001
12 May;0.002
13 May;0.009
14 May;0.001
15 May;0.001
16 May;0.001
17 May;0.064
18 May;0.005
19 May;0
20 May;0
21 May;0.034
22 May;0.72
23 May;0.075
24 May;0.023
25 May;0
26 May;0.109
27 May;0.016
28 May;0.002
29 May;0.003
30 May;0.058
31 May;0.193
1 June;0.301
2 June;0.47
3 June;0.851
4 June;0.505
5 June;1.985
6 June;4.592
7 June;1.689
8 June;0.155
9 June;0.182
10 June;0.734
11 June;1.81
12 June;5.454
13 June;5.625
14 June;5.571
15 June;5.89
16 June;5.779
17 June;6.108
18 June;7.633
19 June;8.365
20 June;8.359
21 June;11.505
22 June;13.778
23 June;14.836
24 June;14.187
25 June;13.989
26 June;12.866
27 June;14.286
28 June;13.401
29 June;16.378
30 June;15.636
1 July;16.507
2 July;13.993
3 July;14.88
4 July;14.162
5 July;14.033
6 July;17.737
7 July;16.421
8 July;17.293
9 July;17.276
10 July;14.449
11 July;8.062
12 July;9.928
13 July;10.774
14 July;13.606
15 July;17.623
16 July;19.322
17 July;19.444
18 July;15.702
19 July;18.251
20 July;20.564
21 July;15.945
22 July;12.52
23 July;14.275
24 July;14.543
25 July;13.516
26 July;8.652
27 July;4.118
28 July;4.634
29 July;5.414
30 July;5.695
31 July;8.733
1 August;7.652
2 August;8.532
3 August;8.869
4 August;8.634
5 August;10.8
6 August;9.467
7 August;10.117
8 August;7.351
9 August;7.913
10 August;5.253
11 August;3.908
12 August;0.054
13 August;0.369
14 August;2.717
15 August;4.434
16 August;5.326
17 August;6.033
18 August;4.265
19 August;3.604
20 August;2.165
21 August;0.219
22 August;0.634
23 August;0.586
24 August;0.508
25 August;0.684
26 August;0.501
27 August;1.255
28 August;8.152
29 August;15.136
30 August;18.062
31 August;2.502
1 September;1.331
2 September;1.965
3 September;11.533
4 September;23.367
5 September;3.146
6 September;6.884
7 September;3.61
8 September;1.334
9 September;0.13
10 September;0.041
11 September;0.033
12 September;0.034
13 September;0.043
14 September;0.031
15 September;0.251
16 September;0.028
17 September;0.032
18 September;0.033
19 September;0.038
20 September;0.028
21 September;0.118
22 September;0.031
23 September;0.025
24 September;0.042
25 September;0.019
26 September;0.021
27 September;0.024
28 September;0.023
29 September;0.022
30 September;0.02
