Days;Values
1 May;0.001
2 May;0.002
3 May;0
4 May;0
5 May;0.001
6 May;0.001
7 May;0
8 May;0.001
9 May;0.001
10 May;0
11 May;0.001
12 May;0.002
13 May;0.001
14 May;0.001
15 May;0.001
16 May;0.001
17 May;0.001
18 May;0.034
19 May;0
20 May;0.001
21 May;0.002
22 May;0.033
23 May;0.005
24 May;0.003
25 May;0.001
26 May;0.001
27 May;0.002
28 May;0.001
29 May;0.006
30 May;0.003
31 May;0.003
1 June;0.001
2 June;0.006
3 June;0.005
4 June;0.005
5 June;0.211
6 June;0.055
7 June;0.298
8 June;0.004
9 June;0.001
10 June;0.001
11 June;0.002
12 June;0.01
13 June;0.002
14 June;0.001
15 June;0.002
16 June;0.008
17 June;0.001
18 June;1.093
19 June;0.095
20 June;0.521
21 June;0.2
22 June;0.223
23 June;0.001
24 June;0.001
25 June;0.002
26 June;0.002
27 June;0.001
28 June;0.001
29 June;0.001
30 June;0.001
1 July;0.001
2 July;0.001
3 July;0.002
4 July;0.002
5 July;0
6 July;0.002
7 July;0.001
8 July;0.001
9 July;0.001
10 July;0.034
11 July;1.198
12 July;0.267
13 July;0.333
14 July;0.032
15 July;0.001
16 July;0.001
17 July;0.002
18 July;0.002
19 July;0.001
20 July;0.097
21 July;0.034
22 July;2.284
23 July;0.144
24 July;0.193
25 July;0.697
26 July;0.765
27 July;0.808
28 July;0.008
29 July;0.005
30 July;0.001
31 July;0.172
1 August;0.124
2 August;0.001
3 August;0.002
4 August;0.002
5 August;0
6 August;0.001
7 August;0.001
8 August;0.054
9 August;2.721
10 August;1.324
11 August;0.466
12 August;0.009
13 August;0.001
14 August;0
15 August;0.001
16 August;0
17 August;0.001
18 August;0
19 August;0.298
20 August;0.8
21 August;0.035
22 August;0.001
23 August;0.001
24 August;0.001
25 August;0.001
26 August;0.001
27 August;0.001
28 August;2.546
29 August;11.614
30 August;7.439
31 August;0.548
1 September;0.031
2 September;0.011
3 September;9.581
4 September;19.118
5 September;0.053
6 September;1.107
7 September;0.019
8 September;0.003
9 September;0.022
10 September;0.001
11 September;0.006
12 September;0.001
13 September;0.001
14 September;0.001
15 September;0
16 September;0.011
17 September;0.043
18 September;0.001
19 September;0.008
20 September;0.002
21 September;0.129
22 September;0.022
23 September;0.009
24 September;0.127
25 September;0.009
26 September;0.012
27 September;0.004
28 September;0.002
29 September;0.039
30 September;0.005
