Days;Values
1 May;0.004
2 May;0.004
3 May;0.004
4 May;0.004
5 May;0.004
6 May;0.004
7 May;0.004
8 May;0.004
9 May;0.003
10 May;0.005
11 May;0.009
12 May;0.007
13 May;0.006
14 May;0.006
15 May;0.006
16 May;0.005
17 May;0.005
18 May;0.005
19 May;0.005
20 May;0.005
21 May;0.005
22 May;0.005
23 May;0.005
24 May;0.005
25 May;0.005
26 May;0.005
27 May;0.005
28 May;0.005
29 May;0.005
30 May;0.005
31 May;0.005
1 June;0.005
2 June;0.005
3 June;0.005
4 June;0.005
5 June;0.005
6 June;0.005
7 June;0.005
8 June;0.005
9 June;0.005
10 June;0.005
11 June;0.005
12 June;0.005
13 June;0.005
14 June;0.005
15 June;0.039
16 June;0.093
17 June;0.136
18 June;0.251
19 June;0.634
20 June;1.263
21 June;1.683
22 June;2.334
23 June;2.775
24 June;3.165
25 June;3.498
26 June;3.713
27 June;4.044
28 June;4.631
29 June;5.157
30 June;5.8
1 July;6.273
2 July;6.379
3 July;6.472
4 July;6.775
5 July;6.761
6 July;7.711
7 July;8.753
8 July;9.167
9 July;9.625
10 July;9.578
11 July;8.942
12 July;8.321
13 July;8.39
14 July;8.301
15 July;8.961
16 July;10.693
17 July;11.64
18 July;12.058
19 July;11.728
20 July;12.974
21 July;12.932
22 July;12.358
23 July;12.219
24 July;12.256
25 July;12.396
26 July;12.009
27 July;10.451
28 July;7.926
29 July;6.691
30 July;6.203
31 July;6.241
1 August;6.611
2 August;6.464
3 August;6.436
4 August;6.275
5 August;6.585
6 August;6.858
7 August;7.05
8 August;6.958
9 August;7.05
10 August;7.426
11 August;6.165
12 August;4.281
13 August;2.552
14 August;2.072
15 August;2.245
16 August;2.689
17 August;3.313
18 August;3.592
19 August;3.233
20 August;2.909
21 August;2.13
22 August;1.072
23 August;0.851
24 August;0.77
25 August;0.705
26 August;0.668
27 August;0.67
28 August;1.667
29 August;7.045
30 August;11.401
31 August;10.025
1 September;6.681
2 September;4.726
3 September;4.758
4 September;13.936
5 September;12.322
6 September;9.01
7 September;7.566
8 September;5.943
9 September;4.272
10 September;2.948
11 September;2.143
12 September;1.562
13 September;1.122
14 September;0.822
15 September;0.671
16 September;0.513
17 September;0.246
18 September;0.18
19 September;0.133
20 September;0.101
21 September;0.087
22 September;0.076
23 September;0.066
24 September;0.057
25 September;0.049
26 September;0.044
27 September;0.041
28 September;0.039
29 September;0.036
30 September;0.034
