Days;Values
1 May;-19.419
2 May;-19.483
3 May;-11.34
4 May;-7.979
5 May;-7.695
6 May;-3.843
7 May;-4.324
8 May;-3.712
9 May;-5.675
10 May;-5.871
11 May;-6.093
12 May;-6.14
13 May;-6.51
14 May;-8.516
15 May;-11.226
16 May;-13.629
17 May;-5.33
18 May;-4.946
19 May;-13.335
20 May;-13.694
21 May;-11.896
22 May;-2.812
23 May;-6.225
24 May;-8.827
25 May;-7.366
26 May;-8.766
27 May;-7.444
28 May;-7.733
29 May;-5.968
30 May;-7.6
31 May;-3.563
1 June;-4.328
2 June;-7.059
3 June;-6.786
4 June;-5.93
5 June;-1.474
6 June;-1.469
7 June;-1.445
8 June;-5.096
9 June;-6.934
10 June;-5.822
11 June;-2.977
12 June;-1.18
13 June;-0.871
14 June;-1.443
15 June;-0.886
16 June;-1.905
17 June;-1.873
18 June;-0.064
19 June;0.59
20 June;0.842
21 June;0.118
22 June;1.278
23 June;1.543
24 June;1.488
25 June;1.237
26 June;1.222
27 June;1.858
28 June;1.951
29 June;1.688
30 June;1.984
1 July;2.171
2 July;1.154
3 July;1.389
4 July;1.06
5 July;1.315
6 July;2.796
7 July;2.447
8 July;1.836
9 July;1.976
10 July;1.013
11 July;0.312
12 July;0.088
13 July;0.308
14 July;0.489
15 July;1.626
16 July;2.683
17 July;2.282
18 July;1.79
19 July;1.924
20 July;1.765
21 July;0.695
22 July;1.152
23 July;1.455
24 July;0.383
25 July;0.87
26 July;0.186
27 July;-0.416
28 July;-1.085
29 July;-0.997
30 July;-0.979
31 July;0.501
1 August;1.208
2 August;0.146
3 August;-0.147
4 August;-0.35
5 August;0.917
6 August;-0.028
7 August;0.737
8 August;-0.845
9 August;0.361
10 August;-0.266
11 August;-0.8
12 August;-6.017
13 August;-6.121
14 August;0.005
15 August;0.667
16 August;0.207
17 August;0.454
18 August;0.306
19 August;-0.393
20 August;-0.789
21 August;-2.899
22 August;-3.352
23 August;-4.842
24 August;-5.213
25 August;-4.042
26 August;-4.171
27 August;-2.616
28 August;2.535
29 August;1.828
30 August;1.827
31 August;-0.29
1 September;-1.521
2 September;-0.742
3 September;1.645
4 September;1.831
5 September;-0.027
6 September;0.574
7 September;0.363
8 September;-2.018
9 September;-3.816
10 September;-6.753
11 September;-8.042
12 September;-7.87
13 September;-6.524
14 September;-7.091
15 September;-2.39
16 September;-2.582
17 September;-3.996
18 September;-10.077
19 September;-12.512
20 September;-12.968
21 September;-2.633
22 September;-5.612
23 September;-7.135
24 September;-2.703
25 September;-6.732
26 September;-7.988
27 September;-10.212
28 September;-8.482
29 September;-5.105
30 September;-6.366
