Days;Values
24 August;-12.713
25 August;-1.578
26 August;3.14
27 August;-6.897
28 August;0.132
29 August;-0.564
30 August;-13.697
31 August;-12.801
1 September;-4.436
2 September;0.961
3 September;-4.198
4 September;-24.944
5 September;-9.114
6 September;15.741
7 September;3.457
8 September;-7.81
9 September;-3.973
10 September;-11.445
11 September;-1.047
12 September;1.597
13 September;-0.256
14 September;-1.294
15 September;-13.443
16 September;-13.272
17 September;-0.683
18 September;-21.205
19 September;-23.427
20 September;-11.167
21 September;-7.71
22 September;-19.442
23 September;-19.299
