Days;Values
24 August;-66.154
25 August;-29.823
26 August;-44.194
27 August;-62.04
28 August;-23.742
29 August;-20.441
30 August;-48.182
31 August;-52.975
1 September;-69.062
2 September;-15.356
3 September;-30.893
4 September;-53.541
5 September;-18.232
6 September;-18.147
7 September;-21.666
8 September;-23.544
9 September;-48.505
10 September;-24.281
11 September;-23.778
12 September;-13.163
13 September;-16.08
14 September;-27.383
15 September;-49.532
16 September;-37.867
17 September;-12.335
18 September;-61.019
19 September;-75.645
20 September;-67.039
21 September;-57.834
22 September;-63.523
23 September;-24.176
