Days;Values
24 August;35.891
25 August;20.179
26 August;5.39
27 August;30.993
28 August;0.507
29 August;-8.229
30 August;26.12
31 August;34.4
1 September;31.786
2 September;-3.771
3 September;15.439
4 September;50.205
5 September;57.209
6 September;32.382
7 September;7.915
8 September;12.959
9 September;22.109
10 September;56.013
11 September;6.832
12 September;-5.864
13 September;-2.135
14 September;5.072
15 September;31.903
16 September;47.141
17 September;12.965
18 September;46.124
19 September;63.113
20 September;41.2
21 September;30.225
22 September;55.172
23 September;43.259
