Days;Values
24 August;43.4682
25 August;25.198936
26 August;36.14336
27 August;33.966447
28 August;19.398436
29 August;25.34512
30 August;34.35642
31 August;39.197736
1 September;38.45352
2 September;20.418756
3 September;17.058439
4 September;35.2294
5 September;14.8008
6 September;25.820848
7 September;21.924658
8 September;25.585296
9 September;36.40764
10 September;16.023538
11 September;18.073032
12 September;13.068366
13 September;11.24959
14 September;14.147952
15 September;22.190883
16 September;11.356632
17 September;10.428891
18 September;26.9214
19 September;26.893932
20 September;26.5716
21 September;23.28696
22 September;23.045834
23 September;8.92899
