Days;Values
15 August;-11.735
16 August;-5.817
17 August;-3.671
18 August;-6.123
19 August;1.94
20 August;8.552
21 August;2.595
22 August;-11.177
23 August;-9.762
24 August;-8.165
25 August;-15.621
26 August;-10.877
27 August;-29.608
28 August;-23.058
29 August;46.472
30 August;41.953
31 August;12.332
1 September;2.518
2 September;6.508
3 September;26.983
4 September;62.213
5 September;9.461
6 September;13.866
7 September;-0.081
8 September;-2.844
9 September;3.824
10 September;-0.078
11 September;-3.367
12 September;-0.059
13 September;-8.549
14 September;-7.722
15 September;-31.263
