Days;Values
15 August;-52.672
16 August;-50.747
17 August;-66.308
18 August;-60.421
19 August;-15.1
20 August;-14.983
21 August;-44.529
22 August;-85.179
23 August;-82.029
24 August;-81.35
25 August;-57.037
26 August;-76.072
27 August;-40.405
28 August;-4.653
29 August;0.599
30 August;-0.955
31 August;-12.826
1 September;-30.359
2 September;-51.346
3 September;-8.157
4 September;2.611
5 September;-16.202
6 September;-9.696
7 September;-42.125
8 September;-50.815
9 September;-42.586
10 September;-80.949
11 September;-77.049
12 September;-72.037
13 September;-70.405
14 September;-82.982
15 September;-30.938
