Days;Values
15 August;28.817
16 August;15.68
17 August;11.373
18 August;23.005
19 August;-0.293
20 August;-4.986
21 August;-6.146
22 August;32.63
23 August;24.432
24 August;25.074
25 August;30.503
26 August;21.674
27 August;49.281
28 August;77.886
29 August;43.962
30 August;42.74
31 August;-3.297
1 September;-1.209
2 September;7.688
3 September;31.613
4 September;50.43
5 September;-2.59
6 September;4.905
7 September;7.838
8 September;7.292
9 September;-4.323
10 September;11.462
11 September;14.142
12 September;9.561
13 September;29.24
14 September;27.857
15 September;48.163
