Days;Values
15 August;64.821372
16 August;76.66483
17 August;100.780527
18 August;74.21208
19 August;38.735788
20 August;29.201718
21 August;34.26423
22 August;51.94187
23 August;55.422528
24 August;56.073994
25 August;43.058981
26 August;59.08469
27 August;35.39312
28 August;25.568784
29 August;23.040363
30 August;32.827023
31 August;24.514952
1 September;34.508936
2 September;48.732516
3 September;17.554908
4 September;19.17072
5 September;29.998611
6 September;22.462503
7 September;50.333524
8 September;51.782896
9 September;28.518966
10 September;42.808227
11 September;43.746582
12 September;45.62859
13 September;38.24469
14 September;48.59424
15 September;30.221324
