Distance;Velocity
0.00;301.05
251.61;307.25
503.23;304.60
754.84;292.57
837.74;289.49
1089.17;283.34
1340.60;274.99
1592.04;265.78
1843.47;252.14
2094.90;243.93
2346.33;235.66
2362.28;235.66
2646.22;224.11
2930.15;214.76
3214.09;210.78
3498.03;209.67
3781.97;202.93
3960.95;200.43
4286.37;189.20
4611.80;180.92
4937.23;179.43
5229.43;181.22
5535.44;187.24
5841.45;192.47
6147.46;195.96
6355.97;197.09
6698.65;197.94
7041.34;194.37
7384.02;190.14
7543.30;188.86
7853.32;188.37
8163.34;191.32
8473.36;189.63
8550.32;188.03
8903.88;178.52
9257.43;172.13
9610.98;172.35
9964.54;171.40
10311.26;166.44
10563.80;165.67
10816.34;164.61
11068.87;167.03
11321.41;168.71
11573.95;170.69
11826.49;170.17
11842.51;170.17
12110.75;165.81
12378.98;162.92
12647.22;161.21
12888.08;161.33
13145.18;163.77
13402.28;164.55
13659.38;163.79
13916.48;162.73
14173.58;161.47
14279.96;161.00
14574.77;159.18
14869.58;157.78
15164.39;156.41
15301.43;156.01
15626.86;154.07
15952.28;149.08
16277.71;142.36
16569.92;136.87
16899.19;130.55
17228.46;129.73
17557.73;129.46
17568.17;129.60
17892.44;125.96
18216.71;122.61
18540.98;121.90
18865.25;123.05
19183.25;119.31
19485.58;115.65
19787.90;114.02
20090.23;112.80
20392.55;113.28
20694.88;114.39
20819.97;114.24
21143.83;114.30
21467.70;114.00
21791.56;114.14
22012.23;113.09
22330.17;110.65
22648.11;104.36
22966.04;98.90
22976.13;99.22
23286.15;99.47
23596.16;101.99
23906.18;106.13
23983.15;105.41
24297.16;101.78
24611.16;94.25
24925.17;87.93
25239.17;83.44
25553.18;78.48
25683.11;77.00
26018.57;72.22
26354.03;70.03
26689.50;71.73
27024.96;76.07
27063.36;77.07
27391.47;79.69
27719.58;81.40
28047.69;82.78
28375.80;84.44
28484.41;84.63
28773.03;87.59
29061.65;89.54
29350.28;86.67
29638.90;85.35
29927.52;81.95
30109.45;80.90
30453.32;79.21
30797.19;76.19
31141.06;71.02
31449.83;65.38
31778.91;60.34
32107.98;59.44
32437.05;61.86
32500.93;61.88
32821.09;60.96
33141.25;58.74
33461.40;58.41
33781.56;58.48
