Distance;Velocity
0.00;117.37
300.46;112.63
585.59;115.77
845.95;120.08
1106.30;126.93
1366.66;132.53
1627.02;131.53
1887.38;122.22
1966.92;114.18
2219.13;140.61
2471.34;140.29
2723.55;141.63
2975.77;143.04
3227.98;143.47
3480.19;142.57
3605.42;141.68
3867.59;139.76
4129.76;142.00
4391.93;146.32
4654.10;149.85
4916.27;152.53
5178.44;153.19
5440.61;153.26
5702.78;156.56
5762.80;159.68
6016.55;166.07
6270.30;168.67
6524.06;160.39
6777.81;143.93
7031.56;129.72
7285.31;116.89
7539.07;110.31
7792.82;108.94
8046.57;110.61
8290.52;111.10
8555.62;108.67
8820.72;103.41
9085.82;96.60
9350.93;91.36
9616.03;85.85
9881.13;83.60
10146.23;83.02
10411.34;81.94
10676.44;79.90
10941.54;77.33
11206.64;74.49
11361.86;74.12
11613.49;73.38
11865.11;71.62
12116.74;68.95
12368.37;62.79
12620.00;58.66
12871.62;57.17
13123.25;57.13
13374.88;59.76
13626.50;61.68
13878.13;63.94
14129.76;66.35
14381.39;67.26
14633.01;69.07
14884.64;70.25
15136.27;73.07
15176.17;73.91
15429.62;79.83
15683.07;83.70
15936.52;88.84
16189.97;91.74
16443.41;91.38
16696.86;90.38
16950.31;86.05
17203.76;83.82
17457.21;84.21
17710.66;85.89
17810.63;87.04
18061.52;89.70
18312.41;91.24
18563.30;91.73
18814.19;90.36
19065.09;87.53
19315.98;85.13
19566.87;83.11
19817.76;81.04
20068.65;78.07
20319.54;74.93
20570.43;72.27
20821.32;69.24
21072.21;67.64
21323.11;66.83
21574.00;68.55
21668.11;69.03
21920.65;72.11
22173.19;74.56
22425.73;75.94
22678.27;76.46
22930.80;76.25
23183.34;74.97
