Distance;Velocity
0.00;845.76
250.97;768.86
501.94;739.95
752.91;745.82
1003.89;775.64
1254.86;799.53
1505.83;804.38
1756.80;774.99
1948.77;753.48
2206.46;704.27
2464.16;677.14
2721.85;653.82
2979.54;629.94
3237.24;610.81
3494.93;589.47
3752.63;556.51
3832.03;542.41
4090.94;518.31
4349.84;507.67
4608.74;509.78
4867.64;509.29
5126.54;503.60
5369.36;503.90
5666.18;508.18
5962.99;515.92
6259.81;522.94
6556.63;532.93
6853.44;549.56
7064.03;555.62
7371.26;578.31
7678.48;603.59
7985.71;613.32
8292.93;611.69
8537.48;597.93
8844.70;578.49
9151.93;569.44
9459.16;565.33
9519.78;564.86
9817.55;559.72
10115.32;555.39
10413.09;553.07
10675.86;549.28
10976.32;546.34
11276.78;540.81
11577.25;539.34
11877.71;534.85
12116.87;542.30
12381.98;553.05
12647.10;546.63
12912.21;539.28
13146.16;535.58
13460.88;565.15
13775.60;612.29
14090.32;656.92
14368.05;679.14
14702.53;657.76
15037.02;629.18
15371.51;615.65
15706.00;610.84
15743.07;612.57
16048.24;600.73
16353.40;583.74
16658.56;543.93
16963.73;514.47
17136.94;500.80
17459.95;503.71
17782.97;515.46
17948.41;513.57
18270.52;480.54
18592.64;429.37
18914.76;388.87
19125.45;364.07
19409.77;342.49
19694.09;322.42
19978.41;309.80
20262.73;305.31
20547.05;304.93
20683.84;306.21
20999.78;305.26
21315.72;308.65
21631.66;310.66
21947.60;310.95
22263.54;306.97
22271.24;306.81
22565.26;298.91
22859.29;294.71
23153.31;297.76
23447.34;311.45
23681.38;331.13
23976.19;367.49
24271.00;383.90
24565.81;376.54
24758.64;365.44
25087.91;367.36
25417.18;399.38
25746.45;429.28
26075.72;434.34
