Distance;Velocity
0.00;5658.90
294.03;5322.41
588.05;5007.27
882.08;4753.53
1176.10;4490.54
1410.14;4245.13
1754.97;3936.58
2099.80;3697.47
2444.62;3480.91
2789.45;3282.77
2985.17;3226.42
3338.73;3136.06
3692.28;3047.64
4045.83;2808.16
4399.39;2469.65
4438.57;2384.07
4754.51;2200.00
5070.45;2125.42
5386.40;2052.07
5702.34;2014.03
6018.28;2094.99
6025.97;2094.99
6334.03;2158.45
6642.09;2088.34
6950.15;1943.06
7258.21;1792.39
7566.27;1711.88
7784.83;1684.58
8082.60;1694.54
8380.37;1741.48
8678.14;1791.46
8940.91;1758.70
9216.26;1689.69
9491.60;1597.97
9758.39;1534.99
10051.93;1511.85
10345.48;1497.91
10629.90;1491.06
10955.33;1507.53
11280.76;1528.50
11521.75;1545.15
11835.39;1566.88
12149.03;1577.74
12462.67;1570.43
12776.31;1553.55
13089.95;1542.72
13403.59;1532.57
13717.23;1526.62
13885.51;1515.79
14189.57;1503.75
14493.64;1478.30
14797.70;1437.18
15101.77;1382.60
15405.83;1357.87
15691.01;1331.67
16016.44;1312.01
16341.86;1299.34
16667.29;1280.91
16992.72;1260.16
17028.78;1258.58
17326.56;1245.22
17624.33;1239.00
17922.10;1236.69
18184.87;1236.61
18472.81;1229.59
18760.74;1217.31
19048.68;1194.74
19336.62;1174.27
19565.81;1152.59
19851.80;1140.79
20137.79;1107.65
20423.78;1078.81
20709.77;1036.95
20741.46;1036.95
21095.02;997.85
21448.57;957.77
21802.12;912.28
22155.68;862.73
22194.86;862.73
22509.58;818.72
22824.30;786.93
23139.02;760.30
23416.75;731.84
23702.06;715.20
23987.38;697.89
24272.70;687.14
24558.02;677.64
24719.96;671.53
25023.34;664.70
25326.73;657.75
25630.11;652.63
25828.54;647.20
26129.01;638.55
26429.47;628.66
26651.98;615.76
26908.08;605.76
27164.17;592.38
27420.27;575.94
27676.37;556.86
27704.76;554.19
27977.89;532.20
28251.02;511.25
28524.15;500.80
28797.28;498.04
29070.41;496.08
29264.19;495.18
29589.62;482.21
29915.04;465.76
30156.04;452.15
30454.74;434.05
30753.43;418.09
31052.13;408.40
31350.83;406.70
31649.52;404.53
